p,r,dates
17.1,1.01,1954q3
17,1.15,1954q4
17,1.28,1955q1
17,1.41,1955q2
17.2,2.07,1955q3
17.1,2.54,1955q4
17.1,2.25,1956q1
17.3,2.49,1956q2
17.5,2.84,1956q3
17.6,3.21,1956q4
17.7,3.08,1957q1
17.9,3.29,1957q2
18,3.53,1957q3
18.1,3.04,1957q4
18.4,1.3,1958q1
18.4,0.83,1958q2
18.4,2.44,1958q3
18.4,2.77,1958q4
18.4,2.8,1959q1
18.6,3.21,1959q2
18.7,4.04,1959q3
18.7,4.49,1959q4
18.7,3.31,1960q1
18.9,2.46,1960q2
18.9,2.48,1960q3
19,2.25,1960q4
19,2.39,1961q1
19,2.33,1961q2
19.1,2.28,1961q3
19.1,2.6,1961q4
19.2,2.72,1962q1
19.3,2.73,1962q2
19.4,2.78,1962q3
19.4,2.87,1962q4
19.4,2.89,1963q1
19.5,2.99,1963q2
19.6,3.38,1963q3
19.7,3.52,1963q4
19.7,3.54,1964q1
19.8,3.48,1964q2
19.8,3.53,1964q3
19.9,3.84,1964q4
20,3.93,1965q1
20.1,3.8,1965q2
20.1,3.92,1965q3
20.3,4.38,1965q4
20.5,4.59,1966q1
20.7,4.5,1966q2
20.8,5.37,1966q3
21,4.96,1966q4
21,4.26,1967q1
21.2,3.54,1967q2
21.4,4.42,1967q3
21.6,4.97,1967q4
21.9,5.17,1968q1
22.1,5.52,1968q2
22.4,5.19,1968q3
22.6,5.96,1968q4
23,6.02,1969q1
23.3,6.44,1969q2
23.7,7.09,1969q3
24,7.82,1969q4
24.4,6.63,1970q1
24.7,6.68,1970q2
25,6.12,1970q3
25.4,4.87,1970q4
25.5,3.38,1971q1
25.9,4.75,1971q2
26,4.69,1971q3
26.2,4.01,1971q4
26.4,3.73,1972q1
26.6,3.91,1972q2
26.8,4.66,1972q3
27.1,5.07,1972q4
27.6,6.09,1973q1
28.2,7.19,1973q2
28.8,8.29,1973q3
29.5,7.45,1973q4
30.5,7.96,1974q1
31.2,7.9,1974q2
32.3,8.06,1974q3
33.1,7.15,1974q4
33.6,5.49,1975q1
34.2,5.34,1975q2
34.8,6.42,1975q3
35.4,5.44,1975q4
35.6,5,1976q1
36.2,5.41,1976q2
36.7,5.08,1976q3
37.1,4.35,1976q4
37.9,4.6,1977q1
38.7,5.02,1977q2
39.1,5.81,1977q3
39.6,6.07,1977q4
40.4,6.29,1978q1
41.6,6.73,1978q2
42.4,7.85,1978q3
43.2,9.08,1978q4
44.5,9.48,1979q1
46.1,9.06,1979q2
47.6,10.26,1979q3
48.9,12.04,1979q4
51.1,15.2,1980q1
52.7,7.07,1980q2
53.6,10.27,1980q3
55,15.49,1980q4
56.4,13.36,1981q1
57.8,14.73,1981q2
59.4,14.7,1981q3
59.9,10.85,1981q4
60.2,12.68,1982q1
61.8,12.47,1982q2
62.4,7.92,1982q3
62.2,7.94,1982q4
62.4,8.35,1983q1
63.4,8.79,1983q2
64.2,9,1983q3
64.6,9,1983q4
65.4,9.52,1984q1
66.1,9.87,1984q2
66.9,10.37,1984q3
67.1,8.06,1984q4
67.8,8.52,1985q1
68.6,6.95,1985q2
69,7.1,1985q3
69.7,7.1,1985q4
69.4,6.56,1986q1
69.8,6.21,1986q2
70.3,5.21,1986q3
70.4,5.53,1986q4
71.5,5.59,1987q1
72.4,5.67,1987q2
73.3,6.4,1987q3
73.6,5.77,1987q4
74.3,5.7,1988q1
75.2,6.46,1988q2
76.4,7.24,1988q3
76.8,8.07,1988q4
78,8.82,1989q1
79.1,8.15,1989q2
79.7,7.75,1989q3
80.4,7.63,1989q4
82.1,7.9,1990q1
82.8,7.73,1990q2
84.6,7.36,1990q3
85.3,6.74,1990q4
86.1,5.91,1991q1
86.7,5.57,1991q2
87.5,5.22,1991q3
87.9,4.07,1991q4
88.8,4.04,1992q1
89.4,3.66,1992q2
90.1,2.91,1992q3
90.5,3.22,1992q4
91.6,2.95,1993q1
92.1,3.07,1993q2
92.5,2.95,1993q3
93,3.06,1993q4
93.8,3.5,1994q1
94.4,4.14,1994q2
95.3,4.62,1994q3
95.4,5.6,1994q4
96.5,5.73,1995q1
97.2,5.47,1995q2
97.7,5.28,1995q3
97.9,5.14,1995q4
99.3,4.96,1996q1
99.9,5.09,1996q2
100.6,5.09,1996q3
101.1,4.91,1996q4
102,5.14,1997q1
102.2,4.93,1997q2
102.8,4.95,1997q3
102.8,5.16,1997q4
103.4,5.03,1998q1
103.9,4.98,1998q2
104.3,4.61,1998q3
104.5,4.39,1998q4
105.2,4.44,1999q1
106,4.57,1999q2
107,4.68,1999q3
107.3,5.2,1999q4
109.1,5.69,2000q1
109.9,5.69,2000q2
110.7,6,2000q3
110.9,5.77,2000q4
112.3,4.42,2001q1
113.5,3.49,2001q2
113.7,2.64,2001q3
112.7,1.69,2001q4
114,1.79,2002q1
114.7,1.7,2002q2
115.4,1.63,2002q3
115.3,1.19,2002q4
117.4,1.13,2003q1
117.1,0.92,2003q2
118.1,0.94,2003q3
117.5,0.9,2003q4
119.5,0.94,2004q1
120.9,1.27,2004q2
121.1,1.65,2004q3
121.3,2.18,2004q4
123.2,2.73,2005q1
124,3.06,2005q2
126.7,3.47,2005q3
125.5,3.99,2005q4
127.4,4.52,2006q1
129.4,4.87,2006q2
129.4,4.77,2006q3
128.7,4.89,2006q4
130.9,4.9,2007q1
132.8,4.68,2007q2
132.9,3.72,2007q3
133.9,3.29,2007q4